epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,167.889,0.77214,0.77558,0.98444,0.97857,0.98979,0.9946,0.84991,0.5656,0.38539,0.87657,0.000331512,0.000331512,0.0671803
2,305.128,0.78839,0.57432,1.00027,0.99683,0.97449,0.99426,0.83878,0.63628,0.43137,0.90052,0.000658263,0.000658263,0.0341737
3,444.028,0.77823,0.58011,0.99906,0.95453,0.96904,0.98791,0.8488,0.5748,0.6162,0.88033,0.000978415,0.000978415,0.00116056
4,582.544,0.75569,0.53241,0.99815,0.9931,0.99071,0.99481,0.85116,0.59942,0.39967,0.88981,0.0009703,0.0009703,0.0009703
5,721.621,0.74254,0.50725,0.98078,0.98162,0.99216,0.99475,0.86227,0.57047,0.38031,0.88011,0.0009604,0.0009604,0.0009604
6,859.561,0.70609,0.48449,0.97853,0.99913,0.99381,0.995,0.87063,0.53685,0.3453,0.87921,0.0009505,0.0009505,0.0009505
7,998.674,0.68509,0.46093,0.96983,0.98463,0.99134,0.99435,0.87783,0.53066,0.34845,0.87131,0.0009406,0.0009406,0.0009406
8,1137.58,0.68548,0.43709,0.96272,0.99665,0.99381,0.995,0.88148,0.51927,0.31652,0.86781,0.0009307,0.0009307,0.0009307
9,1277.28,0.66923,0.4393,0.96347,0.99379,0.99045,0.99491,0.85618,0.58339,0.34772,0.87507,0.0009208,0.0009208,0.0009208
10,1415.23,0.67255,0.42854,0.95514,0.99659,0.99071,0.99497,0.86801,0.55541,0.32573,0.87548,0.0009109,0.0009109,0.0009109
11,1553.92,0.66193,0.41003,0.95827,0.99511,0.99071,0.99491,0.87754,0.52562,0.31216,0.86735,0.000901,0.000901,0.000901
12,1692.37,0.66988,0.40767,0.96019,0.98794,0.98142,0.99428,0.88957,0.51013,0.32385,0.86889,0.0008911,0.0008911,0.0008911
13,1830.66,0.64164,0.40243,0.95076,0.9907,0.9899,0.99488,0.88316,0.49186,0.29529,0.86164,0.0008812,0.0008812,0.0008812
14,1969.62,0.65017,0.40268,0.95612,0.99571,0.99381,0.99497,0.86594,0.52644,0.3241,0.87781,0.0008713,0.0008713,0.0008713
15,2107.74,0.6436,0.39773,0.95488,0.99071,0.99092,0.99403,0.88094,0.50976,0.30099,0.86577,0.0008614,0.0008614,0.0008614
16,2243.03,0.62899,0.37634,0.94791,0.99492,0.98762,0.99485,0.89054,0.4879,0.28875,0.85971,0.0008515,0.0008515,0.0008515
17,2380.08,0.62204,0.37724,0.94276,0.99925,0.99071,0.995,0.89726,0.47347,0.27023,0.85599,0.0008416,0.0008416,0.0008416
18,2515.61,0.61454,0.36867,0.9408,0.99668,0.99071,0.99497,0.9029,0.47171,0.27389,0.84832,0.0008317,0.0008317,0.0008317
19,2654.95,0.61165,0.35983,0.938,0.99372,0.99381,0.99491,0.89289,0.5002,0.27732,0.85362,0.0008218,0.0008218,0.0008218
20,2793.87,0.59891,0.36381,0.93358,0.99995,0.97214,0.99466,0.90561,0.47684,0.27051,0.85346,0.0008119,0.0008119,0.0008119
21,2932.96,0.60401,0.35451,0.93294,0.99645,0.99381,0.99494,0.89563,0.48322,0.26562,0.85509,0.000802,0.000802,0.000802
22,3071.48,0.61057,0.36189,0.93379,0.98954,0.99381,0.99484,0.89886,0.4745,0.26897,0.84801,0.0007921,0.0007921,0.0007921
23,3209.93,0.59464,0.34801,0.93047,0.99689,0.99379,0.99488,0.89534,0.48643,0.26359,0.85313,0.0007822,0.0007822,0.0007822
